Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
60,43496513.270011,1379.420912,1379.420912,0.000000
60,562871.938769,106596.182661,106596.182661,0.000000
60,3705131.227852,16193.758415,16193.758415,0.000000
1,162503.993240,6153.694934,6153.694934,0.000000
9,1184958.900616,7595.200133,7595.200133,0.000000
18,2011506.848001,8948.515397,8948.515397,0.000000
35,2836655.180784,12338.475341,12338.475341,0.000000
60,2936120.678635,20435.127356,20435.127356,0.000000
