Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
1,59673.982831,16757.721750,16174.518797,17341.821930
9,470831.594140,19115.114856,18361.043519,19869.064431
18,773767.877267,23262.790468,22397.680950,24127.717808
35,960051.090486,36456.393151,35171.856966,37740.924509
60,1015308.681870,59095.328417,57432.822029,60757.949026
