Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
1,75647.721316,13219.168834,12623.274753,13815.431161
9,674489.726813,13343.420429,12584.557702,14102.486290
18,1149064.963179,15664.910668,14805.200103,16524.793784
35,1614052.174691,21684.553045,20530.849250,22838.531370
60,483365.042251,124129.787542,128466.157321,119793.077145
