Thread Count,Throughput (ops/s),Avg Latency (ns/op),Avg Read Latency (ns/op),Avg Write Latency (ns/op)
1,79700.310231,12547.002604,12480.194047,13806.425058
9,765014.954873,11764.475900,11656.624838,13808.889230
18,1461105.575228,12319.438311,12200.748801,14575.247219
35,1855871.533673,18859.063984,18697.327908,21937.705406
60,2108481.215039,28456.502041,28230.292154,32751.231492
